Quotazioni Fantacalcio Stagione 2025 26,,,,,,,,,,,,,FVM_Stagione_Precedente
5850,C,C,Lovric,Udinese,9,9,0,9,9,0,25,25,23,2.0
4349,C,M;C,Nicolussi Caviglia,Fiorentina,9,9,0,10,10,0,23,28,46,-23.0
4896,C,T;A,Maldini,Atalanta,8,9,-1,7,8,-1,24,24,34,-10.0
184,C,W;A,Bernardeschi,Bologna,8,9,-1,7,8,-1,22,22,,
4364,C,T,Gaetano,Cagliari,8,8,0,8,7,1,17,14,16,1.0
6151,C,M;C,Perrone,Como,8,8,0,9,9,0,19,21,18,1.0
7126,C,T,Baturina,Como,8,9,-1,7,8,-1,21,18,,
4465,C,C,Fagioli,Fiorentina,8,8,0,8,8,0,21,21,22,-1.0
4427,C,C;T,Malinovskyi,Genoa,8,8,0,8,8,0,19,19,20,-1.0
7135,C,C;T,Stanciu,Genoa,8,8,0,8,8,0,26,26,,
4459,C,M;C,Rovella,Lazio,8,8,0,9,9,0,22,24,23,-1.0
5504,C,M;C,Coulibaly L.,Lecce,8,7,1,9,8,1,14,16,20,-6.0
795,C,W,El Shaarawy,Roma,8,8,0,7,7,0,19,17,16,3.0
6908,C,C,Atta,Udinese,8,6,2,8,6,2,32,32,13,19.0
6486,C,W;T,Suslov,Verona,8,9,-1,8,9,-1,14,14,18,-4.0
4947,C,C;T,Brescianini,Atalanta,7,8,-1,7,8,-1,23,23,23,0.0
5298,C,M;C,Pobega,Bologna,7,8,-1,8,9,-1,22,24,19,3.0
4970,C,C;W,Messias,Genoa,7,8,-1,7,8,-1,12,12,12,0.0
5422,C,E;W,Zalewski,Atalanta,7,6,1,7,6,1,25,28,15,10.0
6394,C,M;C,Ramadani,Lecce,7,6,1,7,7,0,11,12,10,1.0
5872,C,C;T,Helgason,Lecce,7,8,-1,7,8,-1,15,15,22,-7.0
7146,C,E;M,Tourè I.,Pisa,7,6,1,8,7,1,23,26,,
5823,C,T;A,Baldanzi,Roma,7,8,-1,7,8,-1,16,16,14,2.0
5844,C,C;T,Thorstvedt,Sassuolo,7,8,-1,7,8,-1,22,22,,
5007,C,C,Ilic,Torino,7,7,0,7,7,0,12,12,9,3.0
6680,C,M;C,Karlstrom,Udinese,7,6,1,7,6,1,14,15,21,-7.0
5688,C,W;T,Harroui,Verona,7,7,0,7,7,0,14,14,20,-6.0
7254,C,T,Lorran,Pisa,7,7,0,6,6,0,15,13,,
4677,C,W,Cornet,Genoa,7,7,0,7,7,0,20,20,13,7.0
4870,C,M;C,Adopo,Cagliari,6,5,1,7,6,1,14,15,14,0.0
1871,C,M;C,Deiola,Cagliari,6,5,1,6,5,1,11,12,11,0.0
6640,C,W,Felici,Cagliari,6,6,0,4,5,-1,8,8,13,-5.0
2274,C,C;T,Valoti,Cremonese,6,7,-1,6,7,-1,3,3,,
6917,C,M;C,Masini,Genoa,6,5,1,6,5,1,14,17,18,-4.0
6020,C,C;W,Ellertsson,Genoa,6,5,1,6,5,1,13,13,18,-5.0
5301,C,E;W,Luis Henrique,Inter,6,7,-1,6,7,-1,14,15,,
181,C,M;C,Vecino,Lazio,6,6,0,6,6,0,14,15,11,3.0
5457,C,M;C,Maleh,Lecce,6,6,0,6,7,-1,6,8,10,-4.0
6633,C,M;C,Pierret,Lecce,6,6,0,6,7,-1,12,13,12,0.0
5295,C,C;W,Musah,Atalanta,6,6,0,6,6,0,9,9,14,-5.0
5131,C,M;C,Gilmour,Napoli,6,7,-1,6,7,-1,12,12,17,-5.0
6898,C,M;C,Keita M.,Parma,6,6,0,6,7,-1,10,12,14,-4.0
4423,C,C,Hernani,Parma,6,7,-1,6,7,-1,18,18,23,-5.0
7145,C,E;M,Piccinini G.,Pisa,6,6,0,7,7,0,9,11,,
7149,C,M;C,Marin M.,Pisa,6,6,0,6,6,0,11,14,,
6190,C,C,Pisilli,Roma,6,7,-1,6,7,-1,15,15,12,3.0
6219,C,M;C,Boloca,Sassuolo,6,6,0,6,6,0,14,17,,
6815,C,W,Fadera,Sassuolo,6,6,0,5,5,0,13,10,13,0.0
5735,C,W;T,Volpato,Sassuolo,6,5,1,6,5,1,13,15,,
6458,C,C,Serdar,Verona,6,5,1,6,5,1,12,12,12,0.0
7198,C,C,Piotrowski,Udinese,6,6,0,6,6,0,12,12,,
7209,C,C,Sorensen O.,Parma,6,6,0,6,6,0,13,13,,
6274,C,C,Diouf,Inter,6,7,-1,6,7,-1,16,16,,
4404,C,C;T,Thorsby,Genoa,5,5,0,5,5,0,12,12,10,2.0
4711,C,E;W,Kostic,Juventus,5,4,1,6,5,1,7,8,,
6191,C,M;C,Belahyane,Lazio,5,4,1,5,4,1,5,6,11,-6.0
333,C,M;C,Cataldi,Lazio,5,5,0,5,5,0,10,13,15,-5.0
5998,C,E;W,Zerbin,Cremonese,5,3,2,5,3,2,28,31,20,8.0
7138,C,M;C,Ordonez C.,Parma,5,5,0,6,6,0,12,15,,
6717,C,M;C,Konè I.,Sassuolo,5,6,-1,6,7,-1,12,15,,
4890,C,M;C,Tameze,Torino,5,5,0,5,5,0,11,14,8,3.0
1976,C,M;C,Mazzitelli,Cagliari,5,5,0,5,5,0,11,12,,
7276,C,C,Cremaschi,Parma,5,5,0,5,5,0,10,10,,
6024,C,M;C,Sulemana I.,Bologna,4,4,0,4,4,0,10,11,7,3.0
5784,C,C,Aebischer,Pisa,4,4,0,4,4,0,14,14,13,1.0
6424,C,M;C,Prati,Cagliari,4,3,1,4,3,1,11,16,12,-1.0
4284,C,M;C,Sergi Roberto,Como,4,4,0,4,4,0,8,8,10,-2.0
27,C,M;C,Grassi,Cremonese,4,4,0,4,4,0,9,10,12,-3.0
6804,C,M;C,Richardson,Fiorentina,4,4,0,4,4,0,8,9,9,-1.0
5719,C,M;C,Asllani,Torino,4,4,0,4,4,0,9,9,24,-15.0
152,C,C;T,Zielinski,Inter,4,4,0,4,4,0,12,12,16,-4.0
5813,C,C;T,Miretti,Juventus,4,5,-1,4,5,-1,9,9,25,-16.0
5992,C,M;C,Bondo,Cremonese,4,3,1,4,3,1,18,23,11,7.0
6246,C,M;C,Lipani,Sassuolo,4,4,0,4,4,0,8,11,,
6170,C,C,Gineitis,Torino,4,5,-1,4,5,-1,11,11,16,-5.0
6481,C,C,Payero,Cremonese,4,4,0,4,4,0,10,10,15,-5.0
7028,C,C,Bernede,Verona,4,4,0,4,4,0,10,10,14,-4.0
2117,C,C;T,Kastanos,Verona,4,4,0,4,4,0,10,10,9,1.0
5610,C,M;C,Vranckx,Sassuolo,4,4,0,5,5,0,11,13,,
2528,C,M;C,Matic,Sassuolo,4,4,0,5,5,0,10,12,,
7010,C,M;C,Al-Musrati,Verona,4,4,0,5,5,0,9,11,,
6528,C,W;T,Sarmiento J.,Cremonese,4,4,0,4,4,0,8,8,,
6054,C,M;C,Moro N.,Bologna,3,3,0,3,3,0,7,7,12,-5.0
6980,C,W,Venturino,Genoa,3,3,0,3,3,0,10,10,1,9.0
6015,C,C;T,Berisha M.,Lecce,3,3,0,3,3,0,11,11,9,2.0
6222,C,C;T,Rafia,Lecce,3,3,0,3,3,0,7,7,10,-3.0
7150,C,C,Vural,Pisa,3,3,0,3,3,0,1,1,,
6593,C,C;T,Akinsanmiro,Pisa,3,3,0,3,3,0,13,13,,
6212,C,M;C,Zarraga,Udinese,3,2,1,3,2,1,6,7,9,-3.0
5540,C,M;C,Niasse,Verona,3,3,0,3,3,0,14,17,11,3.0
7208,C,M;C,Miller L.,Udinese,3,3,0,4,4,0,10,12,,
7246,C,C,Sala A.,Lecce,3,3,0,3,3,0,8,8,,
6294,C,M;C,Ndour,Fiorentina,2,2,0,2,2,0,14,17,12,2.0
5788,C,T,Sabiri,Fiorentina,2,2,0,2,2,0,4,4,,
6410,C,M;C,Kaba,Lecce,2,1,1,2,1,1,2,2,7,-5.0
5290,C,M;C,Estevez,Parma,2,2,0,2,2,0,3,3,8,-5.0
2334,C,W,Leris,Pisa,2,2,0,2,2,0,3,3,,
7177,C,C,Santiago,Verona,2,2,0,2,2,0,2,2,,
6538,C,M;C,Onana J.,Genoa,2,2,0,2,2,0,4,4,11,-7.0
7165,C,M;C,Liteta,Cagliari,1,1,0,1,1,0,6,8,,
5674,C,C,Basic,Lazio,1,1,0,1,1,0,1,1,1,0.0
6645,C,T,Marchwinski,Lecce,1,1,0,1,1,0,2,2,5,-3.0
7147,C,M;C,Hojholt,Pisa,1,1,0,1,1,0,2,2,,
7157,C,C,Iannoni,Sassuolo,1,1,0,1,1,0,7,7,,
2076,C,M;C,Rog,Cagliari,1,1,0,1,1,0,1,1,,
6677,C,C;T,Adzic,Juventus,1,1,0,1,1,0,1,1,3,-2.0
6005,C,C;T,Ilkhan,Torino,1,1,0,1,1,0,1,1,,
7223,C,W;T,Vergara,Napoli,1,1,0,1,1,0,1,1,,
5286,C,M;C,Akpa Akpro,Verona,1,1,0,1,1,0,2,2,6,-4.0
2764,A,Pc,Martinez L.,Inter,34,34,0,34,34,0,373,373,357,16.0
2097,A,Pc,Kean,Fiorentina,31,33,-2,31,33,-2,364,364,436,-72.0
4871,A,Pc,Thuram,Inter,31,29,2,31,29,2,337,337,360,-23.0
2531,A,Pc,Lukaku,Napoli,30,31,-1,30,31,-1,120,120,427,-307.0
4730,A,A,Lookman,Atalanta,28,29,-1,29,30,-1,123,123,391,-268.0
5544,A,Pc,David,Juventus,27,27,0,27,27,0,266,266,,
2841,A,Pc,Vlahovic,Juventus,26,24,2,26,24,2,126,126,163,-37.0
309,A,A,Dybala,Roma,26,26,0,27,27,0,218,218,141,77.0
6434,A,A,Yildiz,Juventus,25,24,1,25,25,0,220,220,83,137.0
7008,A,Pc,Gimenez,Milan,24,25,-1,24,25,-1,113,113,130,-17.0
6052,A,Pc,Hojlund,Napoli,24,24,0,24,24,0,186,186,,
4510,A,A,Leao,Milan,23,24,-1,23,24,-1,210,210,174,36.0
6226,A,Pc,Castellanos,Lazio,22,21,1,22,21,1,198,198,192,6.0
6314,A,Pc,Openda,Juventus,22,22,0,22,22,0,147,147,,
5995,A,A,De Ketelaere,Atalanta,21,22,-1,22,23,-1,142,142,81,61.0
5672,A,Pc,Dia,Lazio,21,20,1,21,20,1,102,102,89,13.0
531,A,A,Berardi,Sassuolo,21,21,0,21,21,0,144,144,,
2137,A,Pc,Scamacca,Atalanta,20,19,1,20,19,1,119,119,70,49.0
6572,A,Pc,Castro S.,Bologna,20,19,1,20,19,1,128,128,64,64.0
6435,A,Pc,Krstovic,Atalanta,20,20,0,20,20,0,148,148,107,41.0
5734,A,A,Soulè,Roma,20,20,0,21,21,0,153,153,,
6675,A,Pc,Dovbyk,Roma,20,21,-1,20,21,-1,70,70,260,-190.0
4728,A,A,Nkunku,Milan,20,20,0,20,20,0,135,135,,
785,A,Pc,Immobile,Bologna,19,19,0,19,19,0,100,100,,
6365,A,Pc,Ferguson E.,Roma,19,19,0,19,19,0,162,162,,
608,A,Pc,Zapata D.,Torino,19,20,-1,19,20,-1,90,87,90,0.0
7120,A,A,Lang,Napoli,18,19,-1,19,20,-1,47,47,,
313,A,Pc,Morata,Como,18,18,0,18,18,0,78,75,,
4359,A,Pc,Piccoli,Fiorentina,17,17,0,17,17,0,80,77,85,-5.0
6967,A,W;A,Diao,Como,16,17,-1,17,18,-1,60,65,102,-42.0
2038,A,Pc,Pinamonti,Sassuolo,16,16,0,16,16,0,82,79,85,-3.0
6552,A,Pc,Orban G.,Verona,15,15,0,15,15,0,46,46,,
2499,A,Pc,Vardy,Cremonese,15,15,0,15,15,0,55,55,,
647,A,Pc,Dzeko,Fiorentina,14,15,-1,14,15,-1,42,39,,
6215,A,Pc,Lucca,Napoli,14,15,-1,13,14,-1,72,72,100,-28.0
6060,A,A,Laurientè,Sassuolo,14,15,-1,14,15,-1,47,47,,
7128,A,W;A,Kuhn,Como,13,14,-1,14,15,-1,33,38,,
2489,A,A,Pedro,Lazio,13,13,0,13,13,0,35,35,57,-22.0
7023,A,Pc,Pellegrino M.,Parma,13,13,0,12,12,0,70,67,28,42.0
6646,A,A,Adams C.,Torino,13,14,-1,13,14,-1,54,54,73,-19.0
5637,A,Pc,Davis K.,Udinese,13,12,1,12,11,1,50,47,14,36.0
7252,A,Pc,Stulic,Lecce,13,13,0,13,13,0,31,31,,
5297,A,A,Luvumbo,Cagliari,12,12,0,12,12,0,18,18,17,1.0
5336,A,Pc,Nzola,Pisa,12,12,0,12,12,0,28,25,,
441,A,Pc,Belotti,Cagliari,12,12,0,11,11,0,22,20,,
4436,A,A,Cambiaghi,Bologna,11,11,0,11,11,0,25,25,23,2.0
2155,A,Pc,Cutrone,Parma,11,10,1,11,10,1,24,21,26,-2.0
4923,A,Pc,Colombo,Genoa,11,12,-1,10,11,-1,41,38,15,26.0
6164,A,Pc,Vitinha O.,Genoa,11,12,-1,10,11,-1,18,15,22,-4.0
6519,A,Pc,Camarda,Lecce,11,12,-1,11,12,-1,22,19,6,16.0
6643,A,Pc,Dallinga,Bologna,10,10,0,10,10,0,13,10,31,-18.0
7017,A,Pc,Douvikas,Como,9,8,1,8,7,1,30,27,26,4.0
5512,A,Pc,De Luca,Cremonese,9,8,1,8,7,1,5,5,,
7249,A,Pc,Buksa,Udinese,9,9,0,9,9,0,31,31,,
5918,A,A,Sulemana K.,Atalanta,8,9,-1,8,9,-1,20,20,,
6895,A,W;A,Dominguez B.,Bologna,8,9,-1,8,9,-1,17,20,17,0.0
2061,A,Pc,Simeone,Torino,8,8,0,7,7,0,27,24,7,20.0
5471,A,Pc,Djuric,Parma,8,9,-1,7,8,-1,14,11,18,-4.0
6145,A,A,Ngonge,Torino,8,9,-1,8,9,-1,20,20,9,11.0
479,A,Pc,Sanabria,Cremonese,8,7,1,7,6,1,35,32,10,25.0
7183,A,A,Aboukhlal,Torino,8,9,-1,8,9,-1,15,15,,
4463,A,A,Esposito Se.,Cagliari,7,7,0,7,7,0,66,66,43,23.0
6669,A,Pc,Bonny,Inter,7,5,2,7,5,2,37,34,46,-9.0
7071,A,Pc,Esposito F.P.,Inter,7,7,0,7,7,0,16,13,,
6159,A,A,Sarr A.,Verona,7,8,-1,7,8,-1,21,21,20,1.0
6630,A,Pc,Mosquera,Verona,7,6,1,7,6,1,14,14,13,1.0
7127,A,W;A,Addai,Como,6,7,-1,6,7,-1,16,19,,
7129,A,W;A,Rodriguez Je.,Como,6,5,1,6,5,1,18,21,,
5496,A,A,Johnsen,Cremonese,6,7,-1,6,7,-1,12,12,,
5515,A,A,Okereke,Cremonese,6,5,1,6,5,1,3,3,,
6556,A,A,Noslin,Lazio,6,7,-1,6,7,-1,9,9,10,-1.0
5455,A,A,Moreo,Pisa,6,5,1,6,5,1,13,13,,
6653,A,A,Bravo,Udinese,6,6,0,6,6,0,21,21,11,10.0
7199,A,A,Kilicsoy,Cagliari,6,6,0,6,6,0,14,14,,
7213,A,Pc,Frigan,Parma,6,7,-1,6,6,0,7,7,,
6555,A,Pc,Moumbagna,Cremonese,6,6,0,6,6,0,16,16,,
6243,A,Pc,Borrelli,Cagliari,5,5,0,4,4,0,12,10,,
6001,A,W;A,Banda,Lecce,5,5,0,5,5,0,10,13,9,1.0
6207,A,W;A,Almqvist,Parma,5,4,1,5,4,1,13,16,10,3.0
5500,A,W;A,Cancellieri,Lazio,4,3,1,4,3,1,13,16,12,1.0
7001,A,W;A,N'Dri,Lecce,4,5,-1,4,5,-1,8,8,7,1.0
1842,A,A,Pierini,Sassuolo,4,5,-1,4,5,-1,9,9,,
7161,A,Pc,Bayo V.,Udinese,4,4,0,4,4,0,12,12,,
6439,A,Pc,Cheddira,Sassuolo,4,4,0,4,4,0,8,8,,
505,A,A,Bonazzoli,Cremonese,3,1,2,3,1,2,19,19,,
7162,A,A,Giovane,Verona,3,1,2,3,1,2,20,20,,
5506,A,A,Ekuban,Genoa,2,2,0,2,2,0,5,5,12,-7.0
6836,A,Pc,Meister,Pisa,2,2,0,2,2,0,13,10,,
247,A,Pc,Pavoletti,Cagliari,1,1,0,1,1,0,3,3,14,-11.0
6822,A,A,Ekhator,Genoa,1,1,0,1,1,0,3,3,8,-5.0
2012,A,Pc,Milik,Juventus,1,1,0,1,1,0,5,3,3,2.0
6667,A,A,Benedyczak,Parma,1,1,0,1,1,0,13,13,5,8.0
7171,A,A,Buffon L.,Pisa,1,1,0,1,1,0,1,1,,
7158,A,Pc,Moro L.,Sassuolo,1,1,0,1,1,0,1,1,,
7159,A,Pc,Skjellerup,Sassuolo,1,1,0,1,1,0,1,1,,
6827,A,A,Njie,Torino,1,1,0,1,1,0,1,1,6,-5.0
7264,A,Pc,Ambrosino,Napoli,1,1,0,1,1,0,1,1,,
7272,A,Pc,Gueye,Udinese,1,1,0,1,1,0,1,1,,
